HomeName,City,State,Address,PhoneNumber,Website
Prattville Health,Prattville,AL,"601 Jasmine Trl Prattville, AL 36066",(334) 358-3726,
Somerby At St Vincent's One Nineteen,Birmingham,AL,"200 One Nineteen Blvd Birmingham, AL 35242",(205) 408-6005,somerbyatstvincents.com
Angels For The Elderly,Montgomery,AL,"40 Angels Ct Montgomery, AL 36109",(334) 270-8050,atlasseniorliving.com/angels-f…
Assisted Living Association of Alabama,Montgomery,AL,"400 S Union St Montgomery, AL 36104",(334) 262-5523,alaaweb.org
Golden Livingcenter-Montgomery,Montgomery,AL,"2020 N Country Club Dr Montgomery, AL 36106",(334) 262-1430,
Board of Examiners Assisted Living,Montgomery,AL,"5921 Carmichael Rd Montgomery, AL 36117",(334) 271-2420,
Visiting Angels,Anniston,AL,"1509A Greenbrier Dear Rd Anniston, AL 36207",(256) 530-4447,visitingangels.com/anniston/ho…
Golden Living Center,Pell City,AL,"510 Wolf Creek Rd N Pell City, AL 35125",(205) 338-3329,
Visiting Angels,Montgomery,AL,"2569 Bell Rd Montgomery, AL 36117",(334) 245-6390,visitingangels.com
Glen Manor Assisted Living,Montgomery,AL,"3512 Audubon Rd Montgomery, AL 36111",(334) 288-4110,
Angels For the Elderly Assisted Living Homes,Montgomery,AL,"48 Hunter Ln Montgomery, AL 36109",(334) 270-9211,
Elmcroft Of Halcyon,Montgomery,AL,"1775 Halcyon Blvd Montgomery, AL 36117",(334) 396-1111,elmcroft.com/community/elmcrof…
East Haven Assisted Living,Montgomery,AL,"235 Sylvest Dr Montgomery, AL 36117",(334) 260-8373,
Seton Haven,Montgomery,AL,"3721 Wares Ferry Rd Montgomery, AL 36109",(334) 272-4000,
Country Cottage,Montgomery,AL,"235 Sylvest Dr Montgomery, AL 36117",(334) 731-7017,cottageassistedliving.com
Homeland Assisted Living Facility,Jemison,AL,"149 1st Ave Jemison, AL 35085",(205) 790-1469,homelandassistedliving.com
Greensprings Assisted Living,Prattville,AL,"811 Green Springs Dr Prattville, AL 36067",(334) 365-0678,
Tallassee Assisted Living,Tallassee,AL,"2639 Gilmer Ave Tallassee, AL 36078",(334) 283-3661,
Ava Hills Assisted Living,Wedowee,AL,"1330 Old Hwy 431 Wedowee, AL 36278",(256) 357-2895,
Magnolia Place,Auburn,AL,"1553 Professional Pkwy Auburn, AL 36830",(334) 826-9857,
Meadows On Hillabee Assisted Living,Alexander City,AL,"5833 Highway 22 E Alexander City, AL 35010",(256) 409-9009,crownemanagement.com
Catherine Place Assisted Living,Daphne,AL,"27440 County Rd 13 Daphne, AL 36526",(251) 626-9000,
Sabal House Assisted Living,Cantonment,FL,"150 Crossville St Cantonment, FL 32533",(850) 477-1312,sabalhouseincare.com
Homestead Village of Fairhope,Fairhope,AL,"924 Plantation Blvd Fairhope, AL 36532",(251) 929-0250,hvfairhope.com
The Canopy on Berryhill,Pace,FL,"3343 Berryhill Rd Pace, FL 32571",(850) 736-6243,thecanopyliving.com/locations/…
Meadows Assisted Living,Jackson,AL,"517 Commerce St Jackson, AL 36545",(251) 246-1915,bgf.org/our-communities/willia…
Century Health & Rehabilitation Center,Century,FL,"6020 Industrial Blvd Century, FL 32535",(850) 256-1540,centuryhrc.com/services-2
Visiting Angels,Huntsville,AL,"7910 Memorial Pkwy SW Ste F1 Huntsville, AL 35803",(256) 929-7000,visitingangels.com
Helen's Place,Huntsville,AL,"151 Voekel Rd Huntsville, AL 35811",(256) 945-1896,helensplacellc.com
Traditions of Athens,Athens,AL,"22171 Traditions Way Athens, AL 35613",(256) 444-3255,vitalityseniorliving.com/senio…
Merrill Gardens at Madison,Madison,AL,"121 Brookridge Dr Madison, AL 35758",(256) 684-8851,merrillgardens.com
Merrill Gardens at Madison,Madison,AL,"121 Brookridge Dr Madison, AL 35758",(256) 684-8851,merrillgardens.com
Golden Living Center-Hueytown,Birmingham,AL,"2500 River Haven Dr Birmingham, AL 35244",(205) 987-0901,local.goldenlivingcenters.com
Ivy Gate Senior Assisted Living,Adamsville,AL,"5017 Kings Dr Adamsville, AL 35005",(205) 266-1956,
Mending Hearts,Alabaster,AL,"201 1st St SW Alabaster, AL 35007",(205) 725-1544,mendingheartsllc.com
Southeast Hospice Network,Hoover,AL,"2522 Valleydale Rd Hoover, AL 35244",(205) 621-9970,southeasthospicenetwork.com
Legacy Ridge - Trussville,Trussville,AL,"7868 Gadsden Hwy Trussville, AL 35173",(205) 661-9940,atlasseniorliving.com/legacy-r…
Elmcroft of Grayson Valley,Birmingham,AL,"2366 Old Springville Rd Birmingham, AL 35215",(205) 259-7366,elmcroft.com
Golden Living Center-Riverchase,Birmingham,AL,"2500 River Haven Dr Birmingham, AL 35244",(205) 988-5788,goldenlivingcenters.com
Premier Assisted Living,Columbiana,AL,"155 Egg And Butter Rd Columbiana, AL 35051",(205) 669-9202,premieralabama.com
Always Best Care,Birmingham,AL,"6 Office Park Cir Ste 315 Birmingham, AL 35223",(205) 874-9730,alwaysbestcare.com/al/birmingh…
Longleaf Liberty Park,Birmingham,AL,"451 Liberty Pkwy Birmingham, AL 35242",(205) 509-5323,longleaflibertypark.com
Country Cottages Hoover,Birmingham,AL,"4000 Greenwood Dr Birmingham, AL 35216",(205) 987-0847,cottageassistedliving.com
St Martin's At Home,Birmingham,AL,"4941 Montevallo Rd Birmingham, AL 35210",(205) 490-7760,stmartins.ws
Helping Hand Services,Birmingham,AL,"85 Bagby Dr Birmingham, AL 35209",(205) 945-1333,helpinghandservicesinc.com
The Bluffs at Greystone,Birmingham,AL,"6328 Farley Ln Birmingham, AL 35242",(205) 378-8300,phoenixsrliving.com/senior-liv…
Peachtree Senior Living,Trussville,AL,"3740 Eagle Dr Trussville, AL 35173",(205) 655-1999,peachtree-living.com
Town Village Vestavia Hills,Birmingham,AL,"2385 Dolly Ridge Rd Birmingham, AL 35243",(205) 979-2702,townvillagevestaviahills.com
A Place for Mom,Birmingham,AL,"Birmingham, AL 35203",(205) 453-7600,aplaceformom.com
Visiting Angels,Birmingham,AL,"400 Vestavia Pkwy Ste 260 Birmingham, AL 35216",(205) 979-7400,visitingangels.com
Golden Living Center-Riverchase,Birmingham,AL,"2500 River Haven Dr Birmingham, AL 35244",(205) 988-5788,goldenlivingcenters.com
Helping Hand Services,Birmingham,AL,"85 Bagby Dr Birmingham, AL 35209",(205) 945-1333,helpinghandservicesinc.com
A Place for Mom,Birmingham,AL,"Birmingham, AL 35203",(205) 453-7600,aplaceformom.com
The Woodlands Assisted Living,Mc Calla,AL,"8071 Kimbrell Cutoff Rd Mc Calla, AL 35111",(205) 776-4663,
Columbia Cottage,Birmingham,AL,"3776 Crosshaven Dr Birmingham, AL 35223",(205) 968-0000,cottageassistedliving.com
Danberry at Inverness,Birmingham,AL,"235 Inverness Center Dr Birmingham, AL 35242",(205) 443-9500,danberryatinverness.com
